name,line
Rick," Morty, you got to come on. You got to come with me."
Morty," Rick, what’s going on?"
Rick," I got a surprise for you, Morty."
Morty, It’s the middle of the night. What are you talking about?
Rick, I got a surprise for you.
Morty, Ow! Ow! You’re tugging me too hard.
Rick," I got a surprise for you, Morty."
Rick," What do you think of this flying vehicle, Morty? I built it out of stuff I found in the garage."
Morty," Yeah, Rick, it’s great. Is this the surprise?"
Rick," Morty, I had to I had to I had to I had to make a bomb, Morty. I had to create a bomb."
Morty, What?! A bomb?!
Rick," We’re gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
Morty, T-t-that’s absolutely crazy!
Rick," Come on, Morty. Just take it easy, Morty. It’s gonna be good. Right now, we’re gonna go pick up your little friend Jessica."
Morty, Jessica? From my math class?
Rick," When I drop the bomb you know, I want you to have somebody, you know I want you to have the thing I’m gonna make it like a new Adam and Eve, and you’re gonna be Adam."
Morty, Whoa.
Rick," And Jessica’s gonna be Eve,…"
Morty, Whhhh-wha?
Rick," And so that’s the surprise, Morty."
Morty," No, you can’t! Jessica doesn’t even know I exist but but forget about that, because you can’t blow up humanity."
Rick," I-I get what you’re trying to say, Morty. Listen, I’m not you don’t you don’t got to worry about me trying to fool around with with Jessica or mess around with Jessica or anything. I’m I’m not that kind of guy, Morty."
Morty," What are you talking about, Rick?"
Rick," You you don’t have to worry about me getting with Jessica or anything. She she she she she’s all for you, Morty."
Morty," I don’t care about Jessica! You know what, Morty? You’re right."
Rick," Let’s forget the girl all together. She she’s probably nothing but trouble, anyways."
Robot Voice, Arming neutrino bomb.
Morty," That’s it that’s it, Rick. I’m taking the wheel."
Rick," Get off of me, Morty!"
Morty," I’m taking charge of this situation, buddy. What’s gotten into you? I’m I’m I’m I’m not gonna stand around like some sort of dumb What are you, crazy? person and just let you blow up the whole world."
Rick," All right, all right. I’ll I’ll land. I’ll land. I’ll land. I’ll land the thing. Big tough guy all of a sudden."
Rick," We’ll park it right here, Morty. Right here on the side of the road here."
Morty," Oh, thank God."
Rick," You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
Morty, It was?
Rick," Sure. Why not? I don’t know. You you know what, mo-"
Robot Voice, Neutrino bomb armed.
Morty, Um…
Jerry, I see there’s a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?
Summer," Oh, my God, his head is in his food. I’m going to puke."
Beth," Morty, are you getting sick? I told you not to practice-kiss the living-room pillow. The dog sleeps on it."
Morty," I wasn’t kissing a pillow, mom. I just I didn’t get a lot of sleep last night. Maybe my dreams were just too loud or something."
Summer, Or maybe you were out all night again with grandpa Rick.
Rick," What, so everyone’s supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
Jerry, Damn it!
Jerry, Beth!
Summer," Oh, my God, my parents are so loud, I want to die."
Rick," Mm, there is no God, Summer. You got to rip that band-aid off now. You’ll thank me later."
Jerry," Okay, with all due respect, Rick What am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
